id,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,umpire1,umpire2
231,Mumbai,4/21/2010,KA Pollard,Dr DY Patil Sports Academy,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Mumbai Indians,35,0,BR Doctrove,RB Tiffin
230,Kolkata,4/19/2010,M Kartik,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Kolkata Knight Riders,0,9,BG Jerling,RE Koertzen
228,Dharamsala,4/18/2010,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,6,BF Bowden,AM Saheba
229,Delhi,4/18/2010,A Symonds,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Deccan Chargers,11,0,BR Doctrove,SK Tarapore
226,Bangalore,4/17/2010,R McLaren,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians,57,0,HDPK Dharmasena,SJA Taufel
227,Kolkata,4/17/2010,JD Unadkat,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Kolkata Knight Riders,0,8,BG Jerling,RB Tiffin
225,Dharamsala,4/16/2010,RG Sharma,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,5,M Erasmus,AM Saheba
224,Chennai,4/15/2010,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Delhi Daredevils,0,6,HDPK Dharmasena,SS Hazare
223,Jaipur,4/14/2010,KP Pietersen,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,Royal Challengers Bangalore,0,5,BR Doctrove,S Ravi
221,Mumbai,4/13/2010,KA Pollard,Brabourne Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,Mumbai Indians,39,0,S Asnani,DJ Harper
222,Chennai,4/13/2010,R Ashwin,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,Chennai Super Kings,0,9,SS Hazare,SJA Taufel
220,Nagpur,04-12-2010,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Deccan Chargers,13,0,RE Koertzen,RB Tiffin
218,Delhi,04-11-2010,PP Chawla,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Kings XI Punjab,0,7,BF Bowden,AM Saheba
219,Jaipur,04-11-2010,SR Tendulkar,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians,37,0,BR Doctrove,SK Tarapore
216,Nagpur,04-10-2010,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,Deccan Chargers,0,6,HDPK Dharmasena,SJA Taufel
217,Bangalore,04-10-2010,R Vinay Kumar,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,7,K Hariharan,DJ Harper
215,Chandigarh,04-09-2010,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Kings XI Punjab,0,6,M Erasmus,AM Saheba
214,Bangalore,04-08-2010,TL Suman,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,7,S Asnani,DJ Harper
212,Jaipur,04-07-2010,MJ Lumb,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,Rajasthan Royals,0,9,S Ravi,SK Tarapore
213,Kolkata,04-07-2010,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,14,0,BG Jerling,RE Koertzen
211,Chennai,04-06-2010,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Chennai Super Kings,24,0,S Asnani,DJ Harper
